journal	created	deposited	published.print	doi	indexed	issn	issue	issued	member	page	prefix	publisher	score	source	reference.count	references.count	is.referenced.by.count	subject	title	type	url	volume	short.container.title	published.online	language	update.policy	subtitle	archive_	na.	author.names	published_on	citations	is_oa	CiteScore	SJR	WebQualis	isbn
Arquivos Brasileiros de Educação Física	2021-10-21	2021-11-18	NA	10.20873/abef.2595-0096.v4n1pg0140100	2022-04-01	NA	1	2021	8462	NA	10.20873	Universidade Federal do Tocantins	1	Crossref	0	0	0	NA	Anais do I Congresso Internacional Online de Fisioterapia Músculoesquelética	journal-article	http://dx.doi.org/10.20873/abef.2595-0096.v4n1pg0140100	4	Arq. Bras. Ed. Fís.	2021	NA	NA	NA	NA	NA	 	2021	0	TRUE	NA	NA	B4	NA
Journal of Neurologic Physical Therapy	2013-07-04	2021-05-14	2013-03	10.1097/npt.0b013e3182840354	2022-04-03	1557-0576	1	2013-03	276	44-45	10.1097	Ovid Technologies (Wolters Kluwer Health)	1	Crossref	0	0	0	Neurology (clinical),Rehabilitation,Physical Therapy, Sports Therapy and Rehabilitation	Associação Brasileira de Fisiotherapia Neurofunctional (ABRAFIN) Best Abstract Awards	journal-article	http://dx.doi.org/10.1097/npt.0b013e3182840354	37	NA	NA	en	NA	NA	NA	NA	 	2013	0	TRUE	6.4	0.884	A1	NA
XXVI Brazilian Congress on Biomedical Engineering,IFMBE Proceedings	2019-06-03	2019-06-03	2019	10.1007/978-981-13-2119-1_69	2022-04-03	1680-0737,1433-9277	NA	2019	297	453-458	10.1007	Springer Singapore	1	Crossref	16	16	0	NA	Diagnosis of Respiratory Abnormalities Using Tracheal Sounds Analysis: Instrumentation and Evaluation in Simulated and In Vivo Tests	book-chapter	http://dx.doi.org/10.1007/978-981-13-2119-1_69	NA	NA	2019-06-04	NA	http://dx.doi.org/10.1007/springer_crossmark_policy	NA	NA	NA	N. A. Lima Junior, I. M. Queiroz, N. V. Oliveira, A. J. Lopes, P. L. Melo	2019	0	FALSE	NA	0.155	NA	9789811321184,9789811321191
B30. ARTHUR DUBOIS MEMORIAL SESSION: THE SMALL AND LARGE OF AIRWAY AND LUNG FUNCTION	2020-07-08	2020-07-08	2020-05	10.1164/ajrccm-conference.2020.201.1_meetingabstracts.a2999	2022-04-04	NA	NA	2020-05	19	NA	10.1164	American Thoracic Society	1	Crossref	0	0	0	NA	Is the Nitrogen Single-Breath Washout Test Useful to Detecting Changes in Different Forms of Pulmonary Involvement in Rheumatoid Arthritis?	proceedings-article	http://dx.doi.org/10.1164/ajrccm-conference.2020.201.1_meetingabstracts.a2999	NA	NA	2020-05-01	NA	NA	NA	NA	NA	E. Bessa, F. Ribeiro, R. Rufino, C.H. Costa, G. Pinheiro, A. Lopes	2020	0	TRUE	NA	NA	NA	NA
2017 International Conference on Rehabilitation Robotics (ICORR)	2017-08-14	2019-10-02	2017-07	10.1109/icorr.2017.8009230	2022-04-05	NA	NA	2017-07	263	NA	10.1109	IEEE	1	Crossref	30	30	0	NA	Movement therapy without moving — First results on isometric movement training for post-stroke rehabilitation of arm function	proceedings-article	http://dx.doi.org/10.1109/icorr.2017.8009230	NA	NA	NA	NA	NA	NA	NA	NA	A. Melendez-Calderon, E. Rodrigues, K. Thielbar, J.L. Patton	2017	1	TRUE	NA	NA	NA	NA
Manual Therapy	2016-07-13	2018-09-10	2016-09	10.1016/j.math.2016.05.314	2022-03-31	1356-689X	NA	2016-09	78	e159	10.1016	Elsevier BV	1	Crossref	0	0	0	Physical Therapy, Sports Therapy and Rehabilitation,General Medicine	Patient's beliefs about the influence of activity attenuates the improvement in pain and disability after a conservative treatment in chronic low back pain patients	journal-article	http://dx.doi.org/10.1016/j.math.2016.05.314	25	Manual Therapy	NA	en	NA	NA	NA	NA	R. Cabral, F. Belache, M. Santos, A.C. Magalhães, N. Meziat, L.C. Nogueira	2016	0	FALSE	NA	NA	A2	NA
A55. EXERCISE RELATED STUDIES AND CLINICAL STUDIES IN PULMONARY VASCULAR DISEASES	2020-07-08	2020-07-08	2020-05	10.1164/ajrccm-conference.2020.201.1_meetingabstracts.a2051	2022-04-02	NA	NA	2020-05	19	NA	10.1164	American Thoracic Society	1	Crossref	0	0	0	NA	Pulmonary Hypertension in Systemic Sclerosis: Profile and Prognosis	proceedings-article	http://dx.doi.org/10.1164/ajrccm-conference.2020.201.1_meetingabstracts.a2051	NA	NA	2020-05-01	NA	NA	NA	NA	NA	L.G. Correia, V.S. Vilela, B. Rangel, M.M. Dias, A.J. Lopes, C.H. Costa, R. Rufino	2020	0	TRUE	NA	NA	NA	NA
Journal of Science and Medicine in Sport	2022-11-16	2022-11-16	2022-11	10.1016/j.jsams.2022.09.048	2022-11-17	1440-2440	NA	2022-11	78	S49-S50	10.1016	Elsevier BV	1	Crossref	0	0	0	Physical Therapy, Sports Therapy and Rehabilitation,Orthopedics and Sports Medicine	Runners with noisy knees after surgery: Is it related to symptoms?	journal-article	http://dx.doi.org/10.1016/j.jsams.2022.09.048	25	Journal of Science and Medicine in Sport	NA	en	http://dx.doi.org/10.1016/elsevier_cm_policy	NA	NA	NA	D. De Oliveira Silva, A. Culvenor, R. Johnston, B. Mentiplay, M. Girdwood, M. Hedger, T. West, M. Haberfield, B. Patterson, G. Telles, K. Crossley	2022	0	TRUE	7.8	1.324	A1	NA
Journal of Critical Care	2017-12-13	2018-08-25	2017-12	10.1016/j.jcrc.2017.09.160	2022-03-30	0883-9441	NA	2017-12	78	420	10.1016	Elsevier BV	1	Crossref	0	0	0	Critical Care and Intensive Care Medicine	Support vector machine classifier for predicting extubation outcome in intensive care unit	journal-article	http://dx.doi.org/10.1016/j.jcrc.2017.09.160	42	Journal of Critical Care	NA	en	NA	NA	NA	NA	Tomás Santibáñez-Arellano, Claudio Tapia Malebrán, Fernando Silva Guimarães	2017	0	FALSE	7.2	1.085	A3	NA
Manual Therapy	2016-07-13	2018-09-10	2016-09	10.1016/j.math.2016.05.249	2022-04-05	1356-689X	NA	2016-09	78	e132-e133	10.1016	Elsevier BV	1	Crossref	0	0	0	Physical Therapy, Sports Therapy and Rehabilitation,General Medicine	The effect of manipulative manual therapy, in improving range of motion and reducing the intensity of pain in subjects with ankle sprain – A systematic review	journal-article	http://dx.doi.org/10.1016/j.math.2016.05.249	25	Manual Therapy	NA	en	NA	NA	NA	NA	F. Silveira, L. Teixeira, L.C. Nogueira	2016	0	FALSE	NA	NA	A2	NA
8th European Medical and Biological Engineering Conference,IFMBE Proceedings	2020-11-29	2021-05-10	2021	10.1007/978-3-030-64610-3_122	2022-04-29	1680-0737,1433-9277	NA	2020-11-30	297	1087-1091	10.1007	Springer International Publishing	1	Crossref	5	5	1	NA	The Effect of Passive Exoskeleton on Shoulder Muscles Activity during Different Static Tasks	book-chapter	http://dx.doi.org/10.1007/978-3-030-64610-3_122	NA	NA	2020-11-30	NA	http://dx.doi.org/10.1007/springer_crossmark_policy	NA	NA	NA	Talita Pinto, Fabio dos Anjos, Taian Vieira, Giacinto Luigi Cerone, Rachele Sessa, Fabrizio Caruso, Gabriele Caragnano, Francesco Saverio Violante, Marco Gazzoni	2020	1	FALSE	NA	0.155	NA	9783030646097,9783030646103
